date,new_cases,all_cases,recovered,all_deaths,new_deaths,converters
3/13/2020,13,93,21,2,0,32
3/14/2020,17,110,21,2,0,33
3/15/2020,16,126,26,2,0,34
3/16/2020,40,166,26,4,2,34
3/17/2020,30,196,26,6,2,34
3/18/2020,14,210,28,6,0,40
3/19/2020,46,256,28,7,1,42
3/20/2020,29,285,39,8,1,60
3/21/2020,9,294,41,10,2,73
3/22/2020,33,327,56,14,4,74
3/23/2020,39,366,68,19,5,96
3/24/2020,36,402,80,20,1,100
3/25/2020,54,456,95,21,1,113
3/26/2020,39,495,102,24,3,130
3/27/2020,41,536,116,30,6,147
3/28/2020,40,576,121,36,6,161
3/29/2020,33,609,132,40,4,182
3/30/2020,47,656,150,41,1,196
3/31/2020,54,710,157,46,5,205
4/1/2020,69,779,179,52,6,221
4/2/2020,86,865,201,58,6,282
4/3/2020,120,985,216,66,8,296
4/4/2020,85,1070,241,71,5,306
4/5/2020,103,1173,247,78,7,346
4/6/2020,149,1322,259,85,7,396
4/7/2020,128,1450,276,94,9,427
4/8/2020,110,1560,305,103,9,439
4/9/2020,139,1699,348,118,15,468
4/10/2020,95,1794,384,135,17,505
4/11/2020,145,1939,426,146,11,542
4/12/2020,126,2065,447,159,13,589
4/13/2020,125,2190,488,164,5,622
4/14/2020,160,2350,514,178,14,683
4/15/2020,155,2505,553,183,5,751
4/16/2020,168,2673,596,196,13,781
4/17/2020,171,2844,646,205,9,891
4/18/2020,188,3032,701,224,19,980
4/19/2020,112,3144,732,239,15,1001
4/20/2020,189,3333,821,250,11,1086
4/21/2020,157,3490,870,264,14,1181
4/22/2020,169,3659,935,276,12,1270
4/23/2020,232,3891,1004,287,11,1334
4/24/2020,201,4092,1075,294,7,1417
4/25/2020,227,4319,1114,307,13,1450
4/26/2020,215,4534,1176,317,10,1502
4/27/2020,248,4782,1236,337,20,1602
4/28/2020,260,5042,1304,359,22,1669
4/29/2020,226,5268,1335,380,21,1712
4/30/2020,269,5537,1381,392,12,1780
5/1/2020,358,5895,1460,406,14,1875
5/2/2020,298,6193,1522,415,9,1970
5/3/2020,272,6465,1562,429,14,2041
5/4/2020,348,6813,1632,436,7,2139
5/5/2020,388,7201,1730,452,16,2224
5/6/2020,387,7588,1815,469,17,2314
5/7/2020,393,7981,1887,482,13,2378
5/8/2020,495,8476,1945,503,21,2416
5/9/2020,488,8964,2002,514,11,2476
5/10/2020,436,9400,2075,525,11,2556
5/11/2020,346,9746,2172,533,8,2655
5/12/2020,347,10093,2326,544,11,2811
5/13/2020,338,10431,2486,556,12,2980
5/14/2020,,,,,,
5/15/2020,,,,,,
5/16/2020,,,,,,
5/17/2020,,,,,,
5/18/2020,,,,,,
5/19/2020,,,,,,
5/20/2020,,,,,,
5/21/2020,,,,,,
5/22/2020,,,,,,
5/23/2020,,,,,,
5/24/2020,,,,,,
5/25/2020,,,,,,
5/26/2020,,,,,,
5/27/2020,,,,,,
5/28/2020,,,,,,
5/29/2020,,,,,,
5/30/2020,,,,,,
5/31/2020,,,,,,
